name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_adventure,genre_mystery,genre_horror,genre_fantasy,director_top,runtime
Justice,,,"Crime, Drama",6.0,8.0,Adurthi Subba Rao,Waheeda Rehman,Vijay Arora,Tanuja,1,0,0,0,1,0,0,0,0,0,0,0,other,
Justice Chaudhury,,156 min,"Drama, Action, Comedy",5.6,75.0,K. Raghavendra Rao,Jeetendra,Hema Malini,Sridevi,1,1,0,1,0,0,0,0,0,0,0,0,K. Raghavendra Rao,
Justice Chowdhary,,,Action,4.3,21.0,Manish Khandewal,Arun Bakshi,Mithun Chakraborty,Pinky Chinoy,0,1,0,0,0,0,0,0,0,0,0,0,other,
Jwaala Daaku,,,Action,5.3,9.0,R.P. Swamy,Mahendra Sandhu,Asha Sachdev,Farida Jalal,0,1,0,0,0,0,0,0,0,0,0,0,other,
Jwala,,,"Action, Crime",5.2,33.0,M.V. Raman,Sunil Dutt,Madhubala,Sohrab Modi,0,1,0,0,1,0,0,0,0,0,0,0,other,
Jwalamukhi,,162 min,"Action, Romance, Drama",5.8,28.0,Prakash Mehra,Waheeda Rehman,Shatrughan Sinha,Reena Roy,1,1,1,0,0,0,0,0,0,0,0,0,Prakash Mehra,
Jwalamukhi,,135 min,"Action, Drama",4.2,29.0,Jagdish A. Sharma,Vijay Sharma,Abdul Rehman Sheikh,Arjun,1,1,0,0,0,0,0,0,0,0,0,0,other,
Jwar Bhata,,120 min,"Drama, Romance",7.6,34.0,Amiya Chakrabarty,Ruma Guha Thakurta,Aga Jaan,Vikram Kapoor,1,0,1,0,0,0,0,0,0,0,0,0,other,
Jwar Bhata,,,"Drama, Family",6.7,58.0,Adurthi Subba Rao,Saira Banu,Dharmendra,Sujit Kumar,1,0,0,0,0,0,1,0,0,0,0,0,other,
Jwlwi - The Seed,,90 min,Drama,8.0,24.0,Rajni Basumatary,Raj Agnihotri,Mondeep Basumatary,Rajni Basumatary,1,0,0,0,0,0,0,0,0,0,0,0,other,
Jyoti,,,"Drama, Family",6.2,6.0,Dulal Guha,Sanjeev Kumar,Nivedita,Abhi Bhattacharya,1,0,0,0,0,0,1,0,0,0,0,0,other,
Jyoti,,144 min,Drama,5.9,31.0,Pramod Chakravorty,Ajit,Birbal,Vijayendra Ghatge,1,0,0,0,0,0,0,0,0,0,0,0,Pramod Chakravorty,
Jyoti Bane Jwala,,166 min,"Drama, Family, Action",5.0,38.0,Narayana Rao Dasari,Jeetendra,Vinod Mehra,Ashok Kumar,1,1,0,0,0,0,1,0,0,0,0,0,other,
Kaabil,,139 min,"Action, Crime, Drama",7.1,,Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy,1,1,0,0,1,0,0,0,0,0,0,0,other,
Kaaboo,,135 min,Action,6.5,29.0,Vicky Ranawat,Rajat Bedi,Sudesh Berry,Abhay Bhargava,0,1,0,0,0,0,0,0,0,0,0,0,other,
Kaadan,,170 min,"Action, Drama, Fantasy",9.1,,Prabu Solomon,Raghu Babu,Rana Daggubati,Abudhar Al Hassan,1,1,0,0,0,0,0,0,0,0,0,1,other,
Kaadhal Parisu,,143 min,"Drama, Romance",6.1,97.0,A. Jagannathan,Kamal Haasan,Radha,Ambika,1,0,1,0,0,0,0,0,0,0,0,0,other,
Kaafila,,,"Drama, Thriller",3.4,18.0,Sudhanshu Hakku,Divyank Sharma,Sadashiv Amrapurkar,Joy Augustine,1,0,0,0,0,1,0,0,0,0,0,0,other,
Kaafila,,,Action,3.3,174.0,Amitoj Mann,Sunny Deol,Sudesh Berry,Sana,0,1,0,0,0,0,0,0,0,0,0,0,other,
Kaafiron Ki Namaaz,,149 min,"Drama, Thriller",7.1,274.0,Ram Ramesh Sharma,Alok Chaturvedi,Chandra Shekhar Dutta,Joydip Mukhopadhyay,1,0,0,0,0,1,0,0,0,0,0,0,other,
Kaagaz,,109 min,"Biography, Comedy, Drama",7.6,,Satish Kaushik,Pankaj Tripathi,Monal Gajjar,Satish Kaushik,1,0,0,1,0,0,0,0,0,0,0,0,other,
Kaagaz Ke Fools,,109 min,Comedy,3.9,136.0,Anil Chaudhary,Vinay Pathak,Mugdha Godse,Raima Sen,0,0,0,1,0,0,0,0,0,0,0,0,other,
Kaagaz Ke Phool,,148 min,Romance,8.0,,Guru Dutt,Waheeda Rehman,Guru Dutt,Kumari Naaz,0,0,1,0,0,0,0,0,0,0,0,0,other,
Kaagaz Ki Kashti,,127 min,Documentary,8.9,203.0,Brahmanand S. Singh,Ghulam Ali,Talat Aziz,Mahesh Bhatt,0,0,0,0,0,0,0,0,0,0,0,0,other,
Kaagaz Ki Nao,,,Drama,6.5,11.0,B.R. Ishara,Sarika,Reena Ghosh,Master Mithu,1,0,0,0,0,0,0,0,0,0,0,0,B.R. Ishara,
Kaajal,,168 min,"Drama, Musical, Romance",6.2,119.0,Ram Maheshwari,Meena Kumari,Dharmendra,Padmini,1,0,1,0,0,0,0,1,0,0,0,0,other,
Kaal,,126 min,"Adventure, Horror, Mystery",4.6,,Soham Shah,Ajay Devgn,Vivek Oberoi,John Abraham,0,0,0,0,0,0,0,0,1,1,1,0,other,
Kaal Chakra,,,"Action, Drama",5.8,13.0,Dilip Shankar,Ishrat Ali,Sadashiv Amrapurkar,Madan Jain,1,1,0,0,0,0,0,0,0,0,0,0,other,
Kaala,,162 min,"Action, Drama",6.7,,Pa. Ranjith,Rajinikanth,Nana Patekar,Samuthirakani,1,1,0,0,0,0,0,0,0,0,0,0,other,
Kaala Aadmi,,,"Action, Thriller",6.3,11.0,Ramesh Lakhanpal,Sunil Dutt,Saira Banu,Pran,0,1,0,0,0,1,0,0,0,0,0,0,other,
Kaala Mandir,,,Horror,2.6,5.0,Neelima Azim,Kishore Anand Bhanushali,Birbal,Shakti Kapoor,0,0,0,0,0,0,0,0,0,0,1,0,other,
Kaala Patthar,,176 min,"Action, Drama, History",7.7,,Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Shatrughan Sinha,1,1,0,0,0,0,0,0,0,0,0,0,Yash Chopra,
Kaala Samrajya,,119 min,"Action, Crime, Romance",4.2,36.0,Deepak Bahry,Sunil Shetty,Monica Bedi,Amrish Puri,0,1,1,0,1,0,0,0,0,0,0,0,other,
Kaala Sona,,137 min,"Action, Thriller",6.4,61.0,Ravikant Nagaich,Feroz Khan,Parveen Babi,Prem Chopra,0,1,0,0,0,1,0,0,0,0,0,0,Ravikant Nagaich,
Kaalakaandi,,112 min,"Comedy, Thriller",6.3,,Akshat Verma,Saif Ali Khan,Asif Basra,Neil Bhoopalam,0,0,0,1,0,1,0,0,0,0,0,0,other,
Kaali Khuhi,,90 min,"Drama, Horror, Mystery",3.4,,Terrie Samundra,Shabana Azmi,Sanjeeda Sheikh,Riva Arora,1,0,0,0,0,0,0,0,0,1,1,0,other,
Kaali Ki Saugandh,,90 min,Action,5.0,7.0,Saabir,Anmol,Dharmendra,Johny Fever,0,1,0,0,0,0,0,0,0,0,0,0,other,
Kaali Topi Lal Rumaal,,,"Action, Crime, Drama",6.2,29.0,Vijay Reddy,Mithun Chakraborty,Zeenat Ibrahim,Kamal Sadanah,1,1,0,0,1,0,0,0,0,0,0,0,other,
Kaalia,,157 min,"Action, Drama",6.8,,Tinnu Anand,Amitabh Bachchan,Asha Parekh,Parveen Babi,1,1,0,0,0,0,0,0,0,0,0,0,other,
Kaalia,,,Action,5.9,42.0,Deepti Bhatnagar,Mithun Chakraborty,Kiran Kumar,Johnny Lever,0,1,0,0,0,0,0,0,0,0,0,0,other,
Kaalo,,79 min,"Action, Drama, Horror",3.3,260.0,Wilson Louis,Aditya Srivastav,Swini Khara,Aditya Lakhia,1,1,0,0,0,0,0,0,0,0,1,0,other,
Kaam Jwala: The Fire,,73 min,Drama,2.7,9.0,Kanti Shah,Amit Pachori,Sapna Sappu,Junior Jagdeep,1,0,0,0,0,0,0,0,0,0,0,0,Kanti Shah,
Kaam Shastra,,136 min,Thriller,6.4,13.0,Prem Kapoor,Alka,Ramesh Aurora,Urmila Bhatt,0,0,0,0,0,1,0,0,0,0,0,0,other,
Kaamaagni,,134 min,"Drama, Music",4.6,7.0,Ashok Kumar,Sushma Ahuja,Tina Ambani,Leena Das,1,0,0,0,0,0,0,0,0,0,0,0,other,
Kaamannana Makkalu,,,"Action, Comedy, Drama",6.6,75.0,Chi Gurudutt,Sudeep,Rockline Venkatesh,Deepu,1,1,0,1,0,0,0,0,0,0,0,0,other,
Kaamchor,,135 min,"Drama, Family",6.6,131.0,K. Viswanath,Rakesh Roshan,Jaya Prada,Tanuja,1,0,0,0,0,0,1,0,0,0,0,0,other,
Kaamyaab,,,Action,5.5,18.0,K. Raghavendra Rao,Jeetendra,Shabana Azmi,Radha,0,1,0,0,0,0,0,0,0,0,0,0,K. Raghavendra Rao,
Kaanch Ki Deewar,,,"Drama, Family",4.5,8.0,M.N. Yasin,Sanjeev Kumar,Smita Patil,Shakti Kapoor,1,0,0,0,0,0,1,0,0,0,0,0,other,
Kaanchi,,151 min,"Drama, Musical, Romance",4.2,590.0,Subhash Ghai,Mishti,Kartik Aaryan,Rishi Kapoor,1,0,1,0,0,0,0,1,0,0,0,0,Subhash Ghai,
Kaanchli Life in a Slough,,101 min,Drama,7.3,85.0,Dedipya Joshii,Sanjay Mishra,Shikha Malhotra,Nareshpal Singh Chouhan,1,0,0,0,0,0,0,0,0,0,0,0,other,
