name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
A Rifle and a Bag,,89 min,Documentary,6.8,15.0,Cristina Hanes,Isabella Rinaldi,Arya Rothe,
A Scandall,,112 min,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Strange Love Story,,,Drama,3.8,15.0,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,,143 min,"Drama, Romance",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Suitable Girl,,90 min,Documentary,6.9,337.0,Sarita Khurana,Smriti Mundhra,Sima Taparia,
A Thin Line,,104 min,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
A Treasure in the Snow,,,Documentary,6.9,8.0,Goutam Ghose,,,
A Wednesday,,104 min,"Action, Crime, Drama",8.1,,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
Aa Ab Laut Chalen,,177 min,"Musical, Romance, Drama",5.5,,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,,121 min,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Dekhen Zara,,117 min,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,,148 min,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,,158 min,"Mystery, Romance",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,,123 min,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,,120 min,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,,,Action,4.9,28.0,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
Aabra Ka Daabra,,144 min,Fantasy,2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,,170 min,"Comedy, Crime, Drama",5.5,21.0,C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aabroo,,,nan,5.2,5.0,Nazir,,,
Aabshar,,,"Drama, Romance",5.0,5.0,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
Aadab Arz,,,nan,5.2,5.0,V.C. Desai,Nalini Jaywant,Mukesh,
Aadamkhor,,,Action,5.5,6.0,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
Aadamkhor,,72 min,Horror,7.4,150.0,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadat Se Majboor,,105 min,"Action, Crime, Drama",5.5,28.0,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,,132 min,Action,5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,,107 min,Drama,7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadharshila,,154 min,Drama,6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhi Bhagavan,,157 min,"Action, Crime, Thriller",5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
Aadhi Mimansa,,,nan,6.2,9.0,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
Aadhi Raat,,115 min,"Drama, Romance",6.7,9.0,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
